,0,1,2,3
0,60064.16,60072.66,60120.29,60063.2
1,60120.29,60120.3,60185.02,60090
2,60185.02,60185.03,60199.99,60162.8
3,60162.79,60162.8,60172.12,60130.86
4,60162.79,60162.8,60181.54,60130.86
5,60181.54,60181.55,60199.99,60181.55
6,60199.99,60200,60199.99,60200
7,60199.99,60200,60204.95,60199.01
8,60199,60199.01,60199.98,60092.41
9,60108.88,60108.89,60108.88,60050.01
10,60050,60050.01,60094.84,60050.01
11,60047.66,60064.49,60107.99,60064.46
12,60099.64,60099.65,60099.99,60078.12
13,60099.48,60099.49,60099.48,60069.88
14,60077.02,60080.18,60083.99,60069.88
15,60080.6,60080.61,60099.11,60070.27
16,60099.11,60099.12,60107.99,60076.29
17,60107.99,60108,60124.46,60090
18,60124.46,60124.47,60124.83,60114.89
19,60120.46,60120.47,60130.43,60110.28
20,60124.96,60130.44,60149.99,60127.04
21,60149.99,60150,60158.13,60148.43
22,60147.85,60147.86,60149.99,60123.28
23,60130.79,60130.8,60130.79,60130.8
24,60130.79,60130.8,60130.79,60130.8
25,60130.79,60130.8,60130.79,60120.11
26,60127.22,60127.23,60172.21,60127.23
27,60171.81,60178,60196.05,60175.63
28,60191.65,60191.66,60199.99,60175.62
29,60199.99,60200,60241.33,60175.91
30,60199.98,60199.99,60234.68,60199.99
31,60213.73,60213.74,60213.73,60176.01
32,60176,60176.01,60205.7,60175.9
33,60194.88,60194.89,60204.64,60189.91
34,60195.91,60200.44,60200.43,60195.93
35,60200.42,60200.43,60233.37,60200.43
36,60231.69,60231.7,60234.72,60214.19
37,60231.69,60231.7,60261.83,60214.19
38,60261.83,60262.9,60264.96,60170.59
39,60165.48,60170.59,60251.08,60130.79
40,60246.52,60246.53,60265.61,60237.04
41,60265.61,60265.62,60300.75,60265.62
42,60278.45,60278.46,60335.12,60278.46
43,60325.05,60325.06,60348.59,60313.2
44,60328.92,60328.93,60347.04,60301.1
45,60347.04,60349,60351.12,60326.56
46,60351.11,60351.12,60351.11,60313.21
47,60313.2,60313.21,60333.64,60313.21
48,60332.19,60332.2,60373.49,60332.2
49,60369.9,60374.62,60373.35,60320.01
50,60337.78,60337.79,60349.96,60319.68
51,60346.29,60346.3,60350.22,60286.99
52,60298.98,60298.99,60298.98,60275.79
53,60286.34,60286.35,60299.99,60281.25
54,60299.99,60300,60299.99,60293.93
55,60299.99,60300,60299.99,60298.54
56,60299.98,60299.99,60299.99,60273.72
57,60273.71,60273.72,60281.82,60268.38
58,60273.86,60273.87,60276.61,60259
59,60265.48,60265.5,60277.01,60253.63
60,60277.01,60277.02,60299.98,60277.02
61,60299.98,60299.99,60299.99,60299.99
62,60299.99,60300,60299.99,60289.35
63,60299.99,60300,60360.92,60300
64,60344.29,60344.3,60404.99,60344.3
65,60404.99,60405,60429.12,60398.29
66,60417.72,60417.73,60442.08,60403.67
67,60403.66,60403.67,60455,60403.67
68,60443.81,60443.82,60493.92,60440.02
69,60493.92,60493.93,60574.55,60493.93
70,60538.35,60538.36,60637.81,60512.62
71,60628.48,60635.28,60675.07,60601.64
72,60674.98,60675.15,60726.12,60674.01
73,60704.19,60704.2,60727.59,60674.01
74,60674,60674.01,60710.99,60674.01
75,60693.33,60693.34,60778.99,60693.34
76,60752.32,60752.33,60784.99,60747.35
77,60784.99,60785,60888,60768.6
78,60823.59,60823.6,60968.64,60820.04
79,60904.81,60904.82,60945.16,60816.76
80,60828.59,60838.89,60850.43,60781.97
81,60781.96,60781.97,60851.95,60773.19
82,60851.95,60898.11,60999.99,60869.64
83,60986.03,60986.04,61053.31,60976.46
84,61053.31,61053.32,61088.46,61018.13
85,61059.26,61059.27,61150.48,61018.47
86,61150.48,61151.38,61182.57,61039.3
87,61034.56,61043.64,61072,61000.01
88,61005.92,61009.82,61039.6,61000.01
89,61000,61000.01,61000,60898.59
90,60940.76,60940.77,60984.98,60940.77
91,60959.21,60959.22,61051.61,60943.9
92,61050.05,61059.5,61076.13,61054.67
93,61061.33,61062.13,61065.14,61026.37
94,61038.31,61038.32,61038.31,61001
95,61000.99,61001,61064.28,60982.02
96,61056.86,61056.87,61056.86,61001.18
97,61021.03,61022.72,61074.06,61019.01
98,61029.91,61029.92,61037.56,60963.02
99,60966.61,60970.34,60966.61,60870.83
100,60906.05,60906.06,60946.8,60882.9
101,60941.97,60949.05,60949.04,60844.12
102,60843.97,60850.91,60855.16,60815.01
103,60849.99,60850,60946.24,60850
104,60946.24,60946.25,61020.31,60940.45
105,60989.21,60989.22,61000.98,60962.11
106,61000.98,61000.99,61003.13,60956.25
107,60973.14,60973.15,61010.16,60956.31
108,60981.87,60981.88,60982.88,60949.2
109,60949.19,60949.2,60972.02,60908.2
110,60931.72,60931.73,60981.87,60915.01
111,60970.47,60970.48,60998.92,60970.48
112,60978.99,60979,60992.62,60937.18
113,60952.98,60961.93,60955.97,60919.09
114,60919.08,60919.09,60919.08,60877.61
115,60909.87,60916.53,60947.61,60913.99
116,60944.82,60944.83,60992.61,60944.83
117,60981.86,60981.87,60992.61,60973.52
118,60974.43,60974.44,60992.6,60960.01
119,60984.66,60984.67,61019.14,60977.46
120,61005.68,61005.69,61079.99,61005.69
121,61079.99,61080,61119.11,61073.08
122,61116.71,61116.72,61281.23,61111.76
123,61214.08,61214.09,61269.98,61164.89
124,61194.66,61194.67,61242.65,61190.87
125,61223.44,61227.07,61287.68,61217.41
126,61281.3,61281.31,61307.68,61270.01
127,61293.49,61293.5,61311.73,61238.11
128,61288.37,61288.38,61335.18,61275.2
129,61318.51,61318.52,61347.89,61294.22
130,61345.34,61345.35,61379.99,61335.75
